name,code,pop,
Afghanistan,AFG,0,
Algeria,DZA,0,
Armenia,ARM,0,
Australia,AUS,0,
Austria,AUT,0,
Azerbaijan,AZE,0,
Bahrain,BHR,0,
Belarus,BLR,0,
Belgium,BEL,0,
Brazil,BRA,0,
Cambodia,KHM,0,
Canada,CAN,0,
China,CHN,2624,
Croatia,HRV,0,
Czech Republic,CZE,0,
Denmark,DNK,0,
Dominican Republic,DOM,0,
Ecuador,ECU,0,
Egypt,EGY,0,
Estonia,EST,0,
Finland,FIN,0,
France,FRA,2,
Georgia,GEO,0,
Germany,DEU,0,
Greece,GRC,0,
Iceland,ISL,0,
India,IND,0,
Indonesia,IDN,0,
Iraq,IRQ,0,
Ireland,IRL,0,
Israel,ISR,0,
Italy,ITA,21,
Japan,JPN,3,
Kuwait,KWT,0,
Lebanon,LBN,0,
Lithuania,LTU,0,
Luxembourg,LUX,0,
Malaysia,MYS,0,
Mexico,MEX,0,
Monaco,MCO,0,
Nepal,NPL,0,
Netherlands,NLD,0,
New Zealand,NZL,0,
Nigeria,NGA,0,
Norway,NOR,0,
Oman,OMN,0,
Pakistan,PAK,0,
Philippines,PHL,1,
Qatar,QAT,0,
Romania,ROU,0,
Russia,RUS,0,
San Marino,SMR,0,
Singapore,SGP,0,
Spain,ESP,0,
Sri Lanka,LKA,0,
Sweden,SWE,0,
Switzerland,CHE,0,
Taiwan,TWN,1,
Thailand,THA,0,
United Arab Emirates,ARE,0,
United Kingdom,GBR,0,
United States,USA,0,
,,,110058
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,23615611
,,,
,,,47869837
